Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
DERA	1	1	799	0.1%	No
ICK	1	1	799	0.1%	Yes
STAG2	1	1	799	0.1%	Yes
WNK1	1	1	799	0.1%	No
ACER3	1	1	799	0.1%	No
ATM	6	6	799	0.8%	Yes
CALR	3	3	799	0.4%	Yes
CD22	1	1	799	0.1%	Yes
BAP1	6	6	799	0.8%	Yes
ITM2B	1	1	799	0.1%	No
ATR	4	4	799	0.5%	Yes
DDR1	2	2	799	0.3%	Yes
TOP2A	2	2	799	0.3%	Yes
CLIC6	1	1	799	0.1%	No
DHRS12	1	1	799	0.1%	No
PMS2CL	1	1	799	0.1%	No
TENM4	2	2	799	0.3%	No
PTPRO	3	3	799	0.4%	Yes
BRCA1	9	9	799	1.1%	Yes
BRCA2	6	6	799	0.8%	Yes
AATF	1	1	799	0.1%	No
ROBO1	1	1	799	0.1%	Yes
RPTOR	5	5	799	0.6%	Yes
XPO1	2	2	799	0.3%	Yes
CCR7	1	1	799	0.1%	No
HRAS	4	4	799	0.5%	Yes
MCF2L2	1	1	799	0.1%	No
NCOA2	2	2	799	0.3%	Yes
PBRM1	6	6	799	0.8%	Yes
PRMT8	1	1	799	0.1%	No
PACRG	2	2	799	0.3%	No
SYK	1	1	799	0.1%	Yes
TFE3	1	1	799	0.1%	Yes
NCOA4	1	1	799	0.1%	Yes
KREMEN1	2	2	799	0.3%	No
KIF7	1	1	799	0.1%	No
CBFA2T3	1	1	799	0.1%	Yes
ANO5	1	1	799	0.1%	No
SUPT3H	1	1	799	0.1%	No
NAALADL1	1	1	799	0.1%	No
NR5A2	1	1	799	0.1%	No
RAD51C	1	1	799	0.1%	Yes
CLDN15	1	1	799	0.1%	No
KIT	8	7	799	0.9%	Yes
SGK1	3	3	799	0.4%	Yes
PRKN	6	6	799	0.8%	Yes
AMER1	2	2	799	0.3%	Yes
TMPRSS4	3	3	799	0.4%	No
DOT1L	2	2	799	0.3%	Yes
AKAP8	1	1	799	0.1%	No
TMPRSS2	101	86	799	10.8%	Yes
ALOX12B	1	1	799	0.1%	Yes
RELN	1	1	799	0.1%	Yes
CTNNA1	4	4	799	0.5%	Yes
PCNT	2	2	799	0.3%	No
RANBP2	1	1	799	0.1%	Yes
CD74	6	6	799	0.8%	Yes
NQO1	1	1	799	0.1%	Yes
NPM1	5	5	799	0.6%	Yes
MON2	1	1	799	0.1%	No
CAVIN1	1	1	799	0.1%	No
